#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp31079_c0_seq1_FPKM_all:2.341_FPKM_rel:2.341_len:394_path:[0	PRK00131	5e-17	35	81.4	18	128	2	112	175	shikimate kinase	E	Amino acid transport and metabolism
comp2158_c0_seq1_FPKM_all:66.401_FPKM_rel:66.401_len:7089_path:	PRK11750	0.0	44	1690	134	1655	2	1484	1485	glutamate synthase subunit alpha	E	Amino acid transport and metabolism
comp2158_c0_seq1_FPKM_all:66.401_FPKM_rel:66.401_len:7089_path:	PRK12810	0.0	54	778	1707	2190	3	471	471	glutamate synthase subunit beta	X	Multifunctional
comp3950_c0_seq1_FPKM_all:55.321_FPKM_rel:55.321_len:1591_path:	PRK05653	1e-26	26	116	176	423	4	228	246	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp2960_c0_seq1_FPKM_all:72.026_FPKM_rel:72.026_len:3170_path:	PRK10787	1e-150	40	527	99	881	67	767	784	DNA-binding ATP-dependent protease La	O	Posttranslational modification, protein turnover, chaperones
comp2035_c0_seq1_FPKM_all:84.609_FPKM_rel:21.663_len:1121_path:	PRK11720	9e-64	51	237	1	152	177	326	346	galactose-1-phosphate uridylyltransferase	C	Energy production and conversion
comp3288_c0_seq1_FPKM_all:88.184_FPKM_rel:88.184_len:531_path:[	PRK04059	2e-04	28	38.8	12	64	35	85	88	50S ribosomal protein L34e	J	Translation, ribosomal structure and biogenesis
comp3744_c0_seq1_FPKM_all:45.204_FPKM_rel:45.204_len:3091_path:	PRK10518	6e-33	31	137	103	420	67	411	476	alkaline phosphatase	P	Inorganic ion transport and metabolism
comp3762_c0_seq1_FPKM_all:57.982_FPKM_rel:29.554_len:1485_path:	PRK07453	1e-14	26	75.8	30	319	2	246	322	protochlorophyllide oxidoreductase	X	Multifunctional
comp2753_c0_seq4_FPKM_all:47.701_FPKM_rel:5.743_len:7029_path:[	PRK10733	5e-05	28	46.2	1293	1402	188	307	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp28744_c0_seq2_FPKM_all:2.977_FPKM_rel:1.737_len:413_path:[0	PRK10898	3e-04	33	38.4	3	55	270	309	353	serine endoprotease	O	Posttranslational modification, protein turnover, chaperones
comp17267_c0_seq1_FPKM_all:2.925_FPKM_rel:2.925_len:327_path:[1	PRK10832	2e-10	36	59.1	18	108	89	171	182	phosphatidylglycerophosphate synthetase	I	Lipid transport and metabolism
comp16960_c0_seq1_FPKM_all:5.589_FPKM_rel:5.589_len:1265_path:[	PRK15098	1e-38	27	155	1	419	172	608	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp23778_c0_seq1_FPKM_all:3.479_FPKM_rel:2.627_len:481_path:[1	PRK09581	5e-12	38	64.9	13	79	46	110	457	response regulator PleD	T	Signal transduction mechanisms
comp23686_c0_seq1_FPKM_all:3.788_FPKM_rel:2.131_len:577_path:[0	PRK11498	6e-11	34	62.0	8	139	432	553	852	cellulose synthase catalytic subunit	M	Cell wall/membrane/envelope biogenesis
comp1673_c0_seq1_FPKM_all:118.893_FPKM_rel:118.893_len:2746_pat	PRK05347	1e-111	38	399	146	633	28	532	554	glutaminyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp1395_c0_seq3_FPKM_all:58.323_FPKM_rel:8.394_len:5688_path:[	PRK03918	1e-06	24	50.4	354	554	188	384	880	chromosome segregation protein	L	Replication, recombination and repair
comp1639_c0_seq1_FPKM_all:137.263_FPKM_rel:137.263_len:3333_pat	PRK11102	1e-07	26	53.4	114	251	35	169	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp1663_c0_seq2_FPKM_all:119.09_FPKM_rel:70.93_len:417_path:[4	PRK13288	3e-12	28	65.4	4	137	67	205	214	pyrophosphatase PpaX	R	General function prediction only
comp1605_c0_seq2_FPKM_all:145.495_FPKM_rel:77.486_len:1712_path	PRK11663	2e-06	23	49.3	38	230	20	203	434	regulatory protein UhpC	G	Carbohydrate transport and metabolism
comp1009_c0_seq2_FPKM_all:176.48_FPKM_rel:88.278_len:1789_path:	PRK01202	2e-35	47	142	1	127	9	127	127	glycine cleavage system protein H	E	Amino acid transport and metabolism
comp132_c0_seq1_FPKM_all:350.554_FPKM_rel:177.755_len:3218_path	PRK10791	1e-14	34	75.6	89	244	2	159	164	peptidyl-prolyl cis-trans isomerase B (rotamase B)	O	Posttranslational modification, protein turnover, chaperones
comp146_c0_seq3_FPKM_all:562.586_FPKM_rel:562.586_len:320_path:	PRK08617	4e-55	68	207	1	106	406	508	552	acetolactate synthase	X	Multifunctional
comp167_c0_seq1_FPKM_all:847.588_FPKM_rel:847.588_len:1656_path	PRK10625	7e-24	25	106	16	343	2	338	346	putative aldo-keto reductase	C	Energy production and conversion
comp776_c0_seq1_FPKM_all:276.825_FPKM_rel:276.825_len:2568_path	PRK10077	9e-51	28	196	133	581	25	477	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp9329_c0_seq3_FPKM_all:7.984_FPKM_rel:1.875_len:1694_path:[4	PRK05901	8e-06	27	46.9	280	384	112	199	509	RNA polymerase sigma factor	K	Transcription
comp8569_c0_seq2_FPKM_all:11.836_FPKM_rel:6.2_len:606_path:[0,	PRK04020	4e-08	43	51.8	1	46	153	198	204	30S ribosomal protein S2	J	Translation, ribosomal structure and biogenesis
comp9721_c0_seq1_FPKM_all:10.859_FPKM_rel:5.593_len:1667_path:[	PRK14501	5e-32	29	134	169	447	472	725	726	putative bifunctional trehalose-6-phosphate synthase/HAD hydrolase subfamily IIB	G	Carbohydrate transport and metabolism
comp9562_c0_seq2_FPKM_all:17.757_FPKM_rel:6.235_len:2235_path:[	PRK08162	1e-123	42	438	91	571	18	485	545	acyl-CoA synthetase	X	Multifunctional
comp8802_c0_seq3_FPKM_all:17.324_FPKM_rel:16.685_len:1175_path:	PRK13184	2e-10	23	62.1	36	228	10	226	932	serine/threonine-protein kinase	X	Multifunctional
comp9066_c0_seq1_FPKM_all:11.568_FPKM_rel:6.427_len:558_path:[9	PRK11176	5e-38	49	151	12	132	452	572	582	lipid transporter ATP-binding/permease protein	V	Defense mechanisms
comp8445_c0_seq5_FPKM_all:8.539_FPKM_rel:4.497_len:676_path:[57	PRK06148	8e-70	47	258	1	224	701	933	1013	hypothetical protein	E	Amino acid transport and metabolism
comp8122_c0_seq1_FPKM_all:23.357_FPKM_rel:23.357_len:1474_path:	PRK00380	2e-69	35	258	99	423	2	275	281	pantoate--beta-alanine ligase	X	Multifunctional
comp32455_c0_seq1_FPKM_all:2.427_FPKM_rel:2.427_len:380_path:[0	PRK00701	3e-17	29	81.8	2	123	166	289	439	manganese transport protein MntH	P	Inorganic ion transport and metabolism
comp32420_c0_seq1_FPKM_all:2.269_FPKM_rel:2.269_len:301_path:[0	PRK11102	6e-05	21	40.7	3	93	54	144	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp37504_c0_seq1_FPKM_all:1.552_FPKM_rel:1.552_len:374_path:[0	PRK11131	2e-05	35	42.4	35	115	219	299	1294	ATP-dependent RNA helicase HrpA	L	Replication, recombination and repair
comp36317_c0_seq1_FPKM_all:1.724_FPKM_rel:1.724_len:317_path:[0	PRK09912	4e-13	38	67.7	4	91	89	177	346	L-glyceraldehyde 3-phosphate reductase	C	Energy production and conversion
comp35132_c0_seq1_FPKM_all:1.929_FPKM_rel:1.929_len:301_path:[0	PRK15098	4e-16	38	77.4	21	99	546	646	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp10545_c0_seq1_FPKM_all:13.165_FPKM_rel:6.785_len:1183_path:	PRK13768	2e-38	33	154	6	220	7	218	253	GTPase	R	General function prediction only
comp10638_c0_seq1_FPKM_all:14.232_FPKM_rel:14.232_len:2335_path	PRK11043	8e-06	32	47.6	213	292	25	101	401	putative transporter	G	Carbohydrate transport and metabolism
comp11837_c0_seq1_FPKM_all:7.741_FPKM_rel:7.741_len:428_path:[5	PRK09265	9e-14	33	70.6	8	128	170	283	404	aminotransferase AlaT	E	Amino acid transport and metabolism
comp10050_c0_seq1_FPKM_all:17.217_FPKM_rel:17.217_len:734_path:	PRK00012	4e-45	41	176	53	238	2	192	459	aspartyl/glutamyl-tRNA amidotransferase subunit A	J	Translation, ribosomal structure and biogenesis
comp10859_c0_seq3_FPKM_all:7.621_FPKM_rel:3.746_len:1322_path:[	PRK00013	2e-07	57	51.7	4	31	49	76	542	chaperonin GroEL	O	Posttranslational modification, protein turnover, chaperones
comp11664_c0_seq2_FPKM_all:10.246_FPKM_rel:9.003_len:1950_path:	PRK09584	2e-07	26	52.8	71	277	20	180	500	putative tripeptide transporter permease	E	Amino acid transport and metabolism
comp6815_c0_seq2_FPKM_all:27.689_FPKM_rel:13.388_len:449_path:[	PRK08315	3e-50	53	191	6	148	317	451	559	AMP-binding domain protein	X	Multifunctional
comp6303_c0_seq1_FPKM_all:38.708_FPKM_rel:38.708_len:525_path:[	PRK04027	1e-36	53	146	1	96	98	193	195	30S ribosomal protein S7P	J	Translation, ribosomal structure and biogenesis
comp7004_c0_seq1_FPKM_all:36.955_FPKM_rel:36.955_len:1512_path:	PRK04163	2e-10	23	61.8	95	271	57	234	235	exosome complex RNA-binding protein Rrp4	J	Translation, ribosomal structure and biogenesis
comp7746_c0_seq1_FPKM_all:22.378_FPKM_rel:11.336_len:1163_path:	PRK13902	1e-21	25	98.0	3	250	493	720	900	alanyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp6731_c0_seq1_FPKM_all:28.386_FPKM_rel:28.386_len:2327_path:	PRK09449	1e-04	60	42.6	407	426	169	188	224	dUMP phosphatase	R	General function prediction only
comp7128_c0_seq3_FPKM_all:10.124_FPKM_rel:8.283_len:334_path:[8	PRK03992	3e-47	60	181	1	111	90	200	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp6043_c0_seq1_FPKM_all:32.37_FPKM_rel:32.37_len:1263_path:[0	PRK13523	7e-55	39	208	1	259	119	336	337	NADPH dehydrogenase NamA	C	Energy production and conversion
comp6455_c0_seq1_FPKM_all:18.57_FPKM_rel:17.6_len:4085_path:[0,	PRK06847	2e-26	22	115	95	517	9	360	375	hypothetical protein	X	Multifunctional
comp6991_c0_seq3_FPKM_all:33.231_FPKM_rel:17.693_len:888_path:[	PRK11259	1e-07	22	52.1	21	286	116	350	376	N-methyltryptophan oxidase	E	Amino acid transport and metabolism
comp7674_c0_seq1_FPKM_all:25.193_FPKM_rel:25.193_len:606_path:[	PRK08562	4e-15	40	75.0	34	119	39	122	125	50S ribosomal protein L32e	J	Translation, ribosomal structure and biogenesis
comp5554_c0_seq1_FPKM_all:44.052_FPKM_rel:44.052_len:597_path:[	PRK06419	2e-16	34	79.5	22	149	18	145	148	50S ribosomal protein L15P	J	Translation, ribosomal structure and biogenesis
comp5225_c0_seq2_FPKM_all:49.131_FPKM_rel:25.038_len:1626_path:	PRK14971	3e-04	23	41.7	74	221	372	510	614	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp4708_c0_seq1_FPKM_all:51.796_FPKM_rel:27.52_len:1179_path:[	PRK11628	7e-05	27	43.2	35	111	7	90	105	transcriptional regulator BolA	T	Signal transduction mechanisms
comp5610_c0_seq1_FPKM_all:36.101_FPKM_rel:36.101_len:2123_path:	PRK12366	1e-16	20	83.6	211	612	273	621	637	replication factor A	L	Replication, recombination and repair
comp5424_c0_seq1_FPKM_all:43.36_FPKM_rel:21.977_len:2241_path:[	PRK00698	6e-26	34	112	17	217	2	205	205	thymidylate kinase	F	Nucleotide transport and metabolism
comp4852_c0_seq2_FPKM_all:38.322_FPKM_rel:34.317_len:1262_path:	PRK10426	7e-22	30	100	82	291	410	621	635	alpha-glucosidase	G	Carbohydrate transport and metabolism
comp5087_c0_seq4_FPKM_all:37.134_FPKM_rel:19.959_len:871_path:[	PRK04180	1e-147	79	516	44	289	6	251	293	pyridoxal biosynthesis lyase PdxS	H	Coenzyme transport and metabolism
comp5861_c0_seq5_FPKM_all:26.647_FPKM_rel:14_len:505_path:[4666	PRK11092	1e-17	43	84.0	85	166	25	106	702	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	X	Multifunctional
comp5819_c0_seq1_FPKM_all:40.438_FPKM_rel:40.438_len:1511_path:	PRK10258	9e-08	24	52.8	54	323	15	244	251	biotin biosynthesis protein BioC	H	Coenzyme transport and metabolism
comp15584_c0_seq2_FPKM_all:4.451_FPKM_rel:4.451_len:376_path:[0	PRK10636	9e-17	45	80.2	2	82	451	526	638	putative ABC transporter ATP-binding protein	R	General function prediction only
comp14729_c0_seq3_FPKM_all:5.803_FPKM_rel:2.453_len:1601_path:[	PRK03557	1e-19	28	92.9	194	414	13	227	312	zinc transporter ZitB	P	Inorganic ion transport and metabolism
comp14652_c0_seq2_FPKM_all:7.411_FPKM_rel:7.411_len:1378_path:[	PRK10077	5e-49	32	189	1	305	168	471	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp14909_c0_seq1_FPKM_all:5.283_FPKM_rel:5.283_len:1739_path:[	PRK14995	7e-10	22	60.5	3	329	2	323	495	methyl viologen resistance protein SmvA	G	Carbohydrate transport and metabolism
comp15198_c0_seq2_FPKM_all:6.47_FPKM_rel:4.341_len:834_path:[0,	PRK00102	4e-24	35	106	1	195	42	226	229	ribonuclease III	K	Transcription
comp15073_c0_seq3_FPKM_all:3.622_FPKM_rel:3.622_len:330_path:[1	PRK05722	2e-08	40	52.1	1	57	436	492	495	glucose-6-phosphate 1-dehydrogenase	G	Carbohydrate transport and metabolism
comp15609_c0_seq1_FPKM_all:6.126_FPKM_rel:6.126_len:920_path:[0	PRK08651	3e-07	21	50.0	11	144	182	321	394	succinyl-diaminopimelate desuccinylase	E	Amino acid transport and metabolism
comp19485_c0_seq1_FPKM_all:4.125_FPKM_rel:4.125_len:1391_path:[	PRK10291	2e-39	58	158	51	167	3	119	129	glyoxalase I	E	Amino acid transport and metabolism
comp19656_c0_seq2_FPKM_all:4.519_FPKM_rel:2.627_len:650_path:[0	PRK00102	5e-08	28	52.4	3	128	5	132	229	ribonuclease III	K	Transcription
comp19127_c0_seq1_FPKM_all:3.6_FPKM_rel:3.6_len:2163_path:[0].1	PRK13184	7e-12	29	67.5	28	230	2	231	932	serine/threonine-protein kinase	X	Multifunctional
comp19618_c0_seq2_FPKM_all:2.522_FPKM_rel:2.312_len:325_path:[0	PRK00277	2e-34	64	138	30	96	6	72	200	ATP-dependent Clp protease proteolytic subunit	X	Multifunctional
comp21426_c0_seq2_FPKM_all:3.293_FPKM_rel:2.546_len:778_path:[4	PRK11776	1e-57	37	217	10	256	23	262	460	ATP-dependent RNA helicase DbpA	X	Multifunctional
comp21802_c0_seq1_FPKM_all:3.1_FPKM_rel:3.1_len:661_path:[0].2	PRK10996	7e-12	35	63.9	21	107	38	125	139	thioredoxin 2	O	Posttranslational modification, protein turnover, chaperones
comp21853_c0_seq4_FPKM_all:2.635_FPKM_rel:2.635_len:337_path:[2	PRK13184	7e-06	26	43.6	1	96	126	231	932	serine/threonine-protein kinase	X	Multifunctional
comp21899_c0_seq1_FPKM_all:2.518_FPKM_rel:2.518_len:312_path:[6	PRK10517	6e-12	33	63.5	2	102	556	653	902	magnesium-transporting ATPase MgtA	P	Inorganic ion transport and metabolism
comp12123_c0_seq2_FPKM_all:12.277_FPKM_rel:6.296_len:651_path:[	PRK11628	2e-04	40	40.5	117	158	34	75	105	transcriptional regulator BolA	T	Signal transduction mechanisms
comp13508_c0_seq1_FPKM_all:7.443_FPKM_rel:1.351_len:1138_path:[	PRK11630	6e-30	30	126	95	297	21	206	206	hypothetical protein	J	Translation, ribosomal structure and biogenesis
comp13093_c0_seq1_FPKM_all:8.419_FPKM_rel:8.419_len:1505_path:[	PRK15101	6e-22	24	100	15	400	580	955	961	protease3	O	Posttranslational modification, protein turnover, chaperones
comp13559_c0_seq1_FPKM_all:6.682_FPKM_rel:3.498_len:1738_path:[	PRK03918	3e-05	22	45.1	2	399	341	718	880	chromosome segregation protein	L	Replication, recombination and repair
comp13375_c0_seq1_FPKM_all:6.692_FPKM_rel:6.692_len:1669_path:[	PRK12851	5e-06	26	47.4	276	424	379	521	541	chaperonin GroEL	O	Posttranslational modification, protein turnover, chaperones
comp12424_c0_seq1_FPKM_all:5.781_FPKM_rel:5.781_len:1796_path:[	PRK09874	2e-08	30	55.3	67	214	20	166	408	drug efflux system protein MdtG	G	Carbohydrate transport and metabolism
comp12572_c0_seq1_FPKM_all:9.887_FPKM_rel:9.887_len:342_path:[5	PRK10733	2e-15	41	75.5	6	109	266	369	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp31640_c0_seq1_FPKM_all:2.454_FPKM_rel:2.454_len:348_path:[0	PRK14968	1e-08	28	53.0	1	90	99	188	188	putative methyltransferase	J	Translation, ribosomal structure and biogenesis
comp30089_c0_seq1_FPKM_all:2.44_FPKM_rel:2.44_len:588_path:[0].	PRK05506	1e-70	57	260	1	175	467	632	632	bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein	P	Inorganic ion transport and metabolism
comp30320_c0_seq1_FPKM_all:2.316_FPKM_rel:2.316_len:708_path:[0	PRK13184	2e-06	26	47.5	49	141	125	230	932	serine/threonine-protein kinase	X	Multifunctional
comp3478_c0_seq1_FPKM_all:89.111_FPKM_rel:89.111_len:1059_path:	PRK09570	4e-20	49	93.8	214	278	4	68	79	DNA-directed RNA polymerase subunit H	K	Transcription
comp3617_c0_seq3_FPKM_all:58.087_FPKM_rel:15.515_len:2252_path:	PRK05901	9e-08	19	53.9	459	605	28	175	509	RNA polymerase sigma factor	K	Transcription
comp3868_c0_seq1_FPKM_all:25.066_FPKM_rel:25.066_len:1383_path:	PRK13184	3e-13	28	71.3	20	152	77	224	932	serine/threonine-protein kinase	X	Multifunctional
comp3868_c0_seq1_FPKM_all:25.066_FPKM_rel:25.066_len:1383_path:	PRK00037	2e-05	21	45.5	278	415	24	176	412	histidyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp2799_c0_seq2_FPKM_all:82.553_FPKM_rel:50.499_len:2472_path:	PRK14950	5e-04	19	41.7	551	638	353	448	585	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp3540_c0_seq2_FPKM_all:36.584_FPKM_rel:35.556_len:1462_path:	PRK14131	2e-10	31	60.4	45	181	14	147	376	N-acetylneuraminic acid mutarotase	S	Function unknown
comp16138_c0_seq1_FPKM_all:6.109_FPKM_rel:6.109_len:1392_path:[	PRK00062	0.0	66	791	1	413	13	425	426	glutamate-1-semialdehyde aminotransferase	H	Coenzyme transport and metabolism
comp16715_c0_seq4_FPKM_all:4.941_FPKM_rel:4.941_len:318_path:[9	PRK11624	3e-04	73	38.1	1	19	247	265	285	CDP-diglyceride synthase	I	Lipid transport and metabolism
comp23137_c0_seq1_FPKM_all:3.814_FPKM_rel:3.814_len:394_path:[0	PRK10791	6e-05	40	41.0	50	98	16	53	164	peptidyl-prolyl cis-trans isomerase B (rotamase B)	O	Posttranslational modification, protein turnover, chaperones
comp23774_c0_seq1_FPKM_all:2.23_FPKM_rel:2.23_len:827_path:[0].	PRK09556	1e-07	31	51.6	1	144	306	454	467	sugar phosphate antiporter	G	Carbohydrate transport and metabolism
comp1853_c0_seq1_FPKM_all:110.444_FPKM_rel:110.444_len:3552_pat	PRK02224	5e-11	24	65.4	586	908	301	610	880	chromosome segregation protein	L	Replication, recombination and repair
comp950_c0_seq1_FPKM_all:111.47_FPKM_rel:111.47_len:3898_path:[	PRK11439	4e-04	35	42.8	632	699	19	81	218	serine/threonine protein phosphatase 1	T	Signal transduction mechanisms
comp723_c0_seq2_FPKM_all:169.484_FPKM_rel:92.337_len:398_path:[	PRK05222	9e-86	72	309	1	132	441	572	758	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	E	Amino acid transport and metabolism
comp1683_c0_seq1_FPKM_all:104.709_FPKM_rel:104.709_len:3801_pat	PRK10819	7e-06	30	48.5	496	614	55	170	246	transport protein TonB	M	Cell wall/membrane/envelope biogenesis
comp1716_c0_seq1_FPKM_all:139.593_FPKM_rel:139.593_len:1905_pat	PRK13596	0.0	64	786	82	512	2	430	433	NADH dehydrogenase I subunit F	C	Energy production and conversion
comp1874_c0_seq1_FPKM_all:78.066_FPKM_rel:78.066_len:3350_path:	PRK15098	2e-36	26	149	108	658	118	657	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp792_c0_seq2_FPKM_all:117.356_FPKM_rel:89.697_len:4270_path:	PRK09813	2e-06	22	48.2	69	355	13	259	260	fructoselysine 6-kinase	G	Carbohydrate transport and metabolism
comp9681_c0_seq4_FPKM_all:16.742_FPKM_rel:16.541_len:510_path:[	PRK03982	3e-04	26	39.6	3	157	69	216	288	heat shock protein HtpX	O	Posttranslational modification, protein turnover, chaperones
comp8983_c0_seq1_FPKM_all:15.407_FPKM_rel:15.407_len:634_path:[	PRK01143	3e-18	35	84.9	2	123	31	152	163	50S ribosomal protein L11P	J	Translation, ribosomal structure and biogenesis
comp9243_c0_seq3_FPKM_all:8.526_FPKM_rel:4.615_len:3930_path:[0	PRK13184	2e-12	25	69.8	816	1010	10	230	932	serine/threonine-protein kinase	X	Multifunctional
comp9223_c0_seq1_FPKM_all:17.092_FPKM_rel:17.092_len:2230_path:	PRK10077	3e-69	29	258	35	541	7	474	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp8150_c0_seq1_FPKM_all:26.006_FPKM_rel:13.705_len:1094_path:	PRK10628	9e-46	39	178	64	263	22	221	246	LigB family dioxygenase	S	Function unknown
comp8731_c0_seq9_FPKM_all:9.921_FPKM_rel:7.042_len:1198_path:[3	PRK13184	7e-12	30	66.7	36	176	109	251	932	serine/threonine-protein kinase	X	Multifunctional
comp8803_c0_seq8_FPKM_all:7.782_FPKM_rel:3.999_len:316_path:[91	PRK13184	2e-04	29	39.0	19	104	118	216	932	serine/threonine-protein kinase	X	Multifunctional
comp32307_c0_seq1_FPKM_all:1.955_FPKM_rel:1.955_len:332_path:[0	PRK12332	5e-41	69	160	20	110	1	92	198	elongation factor Ts	J	Translation, ribosomal structure and biogenesis
comp33819_c0_seq1_FPKM_all:1.781_FPKM_rel:1.781_len:326_path:[0	PRK09358	3e-09	32	54.8	10	105	223	317	340	adenosine deaminase	F	Nucleotide transport and metabolism
comp33081_c0_seq1_FPKM_all:2.207_FPKM_rel:2.207_len:356_path:[0	PRK04059	2e-06	37	45.4	40	102	17	79	88	50S ribosomal protein L34e	J	Translation, ribosomal structure and biogenesis
comp36361_c0_seq1_FPKM_all:1.962_FPKM_rel:1.962_len:383_path:[0	PRK10636	1e-24	42	106	7	111	131	234	638	putative ABC transporter ATP-binding protein	R	General function prediction only
comp25010_c0_seq1_FPKM_all:3.448_FPKM_rel:3.448_len:416_path:[0	PRK10084	8e-06	55	43.6	32	60	1	29	352	dTDP-glucose 4,6 dehydratase	M	Cell wall/membrane/envelope biogenesis
comp25732_c0_seq1_FPKM_all:3.399_FPKM_rel:3.399_len:412_path:[0	PRK05396	4e-18	40	84.9	17	109	16	110	341	L-threonine 3-dehydrogenase	X	Multifunctional
comp11508_c0_seq2_FPKM_all:13.301_FPKM_rel:6.843_len:1687_path:	PRK13404	1e-161	47	564	41	526	5	462	477	dihydropyrimidinase	F	Nucleotide transport and metabolism
comp10191_c0_seq3_FPKM_all:16.513_FPKM_rel:6.438_len:1634_path:	PRK00102	4e-12	26	67.8	230	475	22	226	229	ribonuclease III	K	Transcription
comp11461_c0_seq1_FPKM_all:9.325_FPKM_rel:9.325_len:1824_path:[	PRK00095	1e-10	20	63.3	321	587	334	586	617	DNA mismatch repair protein	L	Replication, recombination and repair
comp10265_c0_seq1_FPKM_all:21.356_FPKM_rel:21.356_len:926_path:	PRK08317	1e-08	29	55.3	26	139	8	122	241	hypothetical protein	H	Coenzyme transport and metabolism
comp10166_c0_seq1_FPKM_all:8.233_FPKM_rel:7.803_len:1510_path:[	PRK15481	7e-09	26	57.0	314	496	146	296	431	transcriptional regulatory protein PtsJ	X	Multifunctional
comp10694_c0_seq2_FPKM_all:8.142_FPKM_rel:8.142_len:1485_path:[	PRK14086	7e-06	19	46.7	53	202	120	285	617	chromosomal replication initiation protein	L	Replication, recombination and repair
comp10401_c0_seq1_FPKM_all:14.154_FPKM_rel:11.346_len:1484_path	PRK05958	6e-61	30	230	57	431	38	377	385	8-amino-7-oxononanoate synthase	H	Coenzyme transport and metabolism
comp11302_c0_seq2_FPKM_all:5.382_FPKM_rel:5.382_len:330_path:[7	PRK12552	5e-05	45	40.9	1	37	105	141	222	ATP-dependent Clp protease-like protein	X	Multifunctional
comp10868_c1_seq1_FPKM_all:3.415_FPKM_rel:3.415_len:370_path:[0	PRK00346	2e-23	41	102	1	120	28	142	250	5'(3')-nucleotidase/polyphosphatase	R	General function prediction only
comp11201_c0_seq3_FPKM_all:3.559_FPKM_rel:3.559_len:499_path:[2	PRK03992	9e-16	31	77.6	63	164	1	102	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp6393_c0_seq1_FPKM_all:12.501_FPKM_rel:5.374_len:6800_path:[	PRK15370	6e-09	26	59.3	706	952	199	407	754	E3 ubiquitin-protein ligase SlrP	S	Function unknown
comp6619_c0_seq1_FPKM_all:21.519_FPKM_rel:21.519_len:3460_path:	PRK07560	8e-60	38	227	6	286	8	221	731	elongation factor EF-2	J	Translation, ribosomal structure and biogenesis
comp6090_c0_seq4_FPKM_all:24.495_FPKM_rel:23.153_len:891_path:[	PRK06102	9e-37	42	149	110	296	7	189	452	hypothetical protein	J	Translation, ribosomal structure and biogenesis
comp7911_c0_seq2_FPKM_all:18.588_FPKM_rel:11.914_len:2001_path:	PRK05826	1e-145	44	508	57	529	5	453	465	pyruvate kinase	G	Carbohydrate transport and metabolism
comp6358_c0_seq1_FPKM_all:19.268_FPKM_rel:19.268_len:4233_path:	PRK03980	4e-29	28	125	934	1194	53	292	292	flap endonuclease-1	L	Replication, recombination and repair
comp7020_c0_seq1_FPKM_all:28.369_FPKM_rel:28.369_len:1600_path:	PRK03918	9e-08	19	53.5	198	464	178	421	880	chromosome segregation protein	L	Replication, recombination and repair
comp6691_c0_seq5_FPKM_all:17.282_FPKM_rel:8.283_len:334_path:[4	PRK13184	6e-05	33	40.5	30	100	118	201	932	serine/threonine-protein kinase	X	Multifunctional
comp5902_c0_seq1_FPKM_all:31.709_FPKM_rel:5.519_len:2333_path:[	PRK10504	8e-04	33	40.9	81	143	50	112	471	putative transporter	G	Carbohydrate transport and metabolism
comp5805_c0_seq4_FPKM_all:6.62_FPKM_rel:5.102_len:810_path:[0,	PRK11688	6e-04	28	38.7	42	147	28	147	154	hypothetical protein	Q	Secondary metabolites biosynthesis, transport and catabolism
comp4744_c0_seq1_FPKM_all:49.584_FPKM_rel:49.584_len:2342_path:	PRK12299	2e-10	25	62.8	190	355	165	327	335	GTPase CgtA	R	General function prediction only
comp14692_c0_seq2_FPKM_all:5.051_FPKM_rel:3.85_len:825_path:[19	PRK13184	4e-07	23	50.2	85	227	4	162	932	serine/threonine-protein kinase	X	Multifunctional
comp15353_c0_seq1_FPKM_all:3.699_FPKM_rel:3.494_len:831_path:[2	PRK13184	5e-08	24	53.2	6	205	2	226	932	serine/threonine-protein kinase	X	Multifunctional
comp15041_c0_seq1_FPKM_all:3.759_FPKM_rel:3.759_len:854_path:[0	PRK04143	1e-35	39	144	45	212	81	259	264	hypothetical protein	R	General function prediction only
